iter	RMSE
146	15.46109665
147	15.450825
148	15.44468006
149	15.44216185
150	15.43651691
151	15.42803779
152	15.42268386
153	15.41537791
154	15.4062967
155	15.39959848
156	15.39672365
157	15.38672647
158	15.37850866
159	15.37712182
160	15.37430362
161	15.37019052
162	15.36734093
163	15.36574928
164	15.35873547
165	15.35134316
166	15.34629156
167	15.33957775
168	15.3288181
169	15.32702169
170	15.32493484
171	15.30997869
172	15.30571721
173	15.3041379
174	15.29995888
175	15.29623822
176	15.29284679
177	15.28726546
178	15.28350637
179	15.28187703
180	15.27568595
181	15.27181707
182	15.26572155
183	15.2601349
184	15.25740883
185	15.25637662
186	15.25100963
187	15.24787046
188	15.24001197
189	15.23634341
190	15.23110711
191	15.22254848
192	15.21730888
193	15.21331132
194	15.20792188
195	15.20442635
196	15.19639158
197	15.19216737
198	15.1881647
199	15.18139566
200	15.17881653
201	15.17354361
202	15.17162425
203	15.16368901
204	15.15657857
205	15.15344828
206	15.14291033
207	15.13771606
208	15.13292545
209	15.12720339
210	15.12434817
211	15.12198908
212	15.1147934
213	15.10429214
214	15.0954396
215	15.0910924
216	15.08581509
217	15.07611666
218	15.07312526
219	15.07106545
220	15.06815474
221	15.0637168
222	15.05997403
223	15.0568907
224	15.05098856
225	15.04762048
226	15.04602649
227	15.04190768
228	15.03382962
229	15.02733537
230	15.0249262
231	15.02118999
232	15.02007589
233	15.01631217
234	15.00515612
235	14.99768311
236	14.99315521
237	14.98932626
238	14.98419423
239	14.97581258
240	14.97197699
241	14.96863527
242	14.96294684
243	14.95962964
244	14.94962359
245	14.94818805
246	14.94360502
247	14.94021423
248	14.9350216
249	14.93181658
250	14.92829111
251	14.9228553
252	14.92133526
253	14.91391264
254	14.91122435
255	14.90700672
256	14.89442093
257	14.88943363
258	14.88268124
259	14.88055857
260	14.87291002
261	14.86817423
262	14.86326231
263	14.86190939
264	14.86055817
265	14.85374274
266	14.85229927
267	14.84942224
268	14.84659873
269	14.83882021
270	14.8361379
271	14.83280413
272	14.8276517
273	14.8251167
274	14.82090108
275	14.81561328
276	14.81375281
277	14.80878908
278	14.80481985
279	14.79846245
280	14.795852
281	14.7873465
282	14.78485912
283	14.78332731
284	14.77789072
285	14.77457234
286	14.77046112
287	14.7637149
288	14.76099929
289	14.75516468
290	14.75408165
291	14.74323447
292	14.74073918
293	14.73747945
294	14.72850754
295	14.7254174
296	14.72318034
297	14.72074043
298	14.71740926
299	14.7144421
300	14.71178875
301	14.70877103
302	14.70642804
303	14.70282478
304	14.69865391
305	14.69036468
306	14.68755558
307	14.67944832
308	14.67036273
309	14.66940418
310	14.66483042
311	14.65737791
312	14.65566857
313	14.65276365
314	14.64974836
315	14.64586801
316	14.64458758
317	14.63856985
318	14.63104659
319	14.62560663
320	14.62179502
321	14.61875606
322	14.6178409
323	14.61213159
324	14.60969823
325	14.60134921
326	14.5936478
327	14.59174928
328	14.58524462
329	14.58143274
330	14.57960541
331	14.57829983
332	14.57530373
333	14.57446549
334	14.56629682
335	14.56314127
336	14.55682831
337	14.55411725
338	14.5503929
339	14.54795826
340	14.54404592
341	14.53837964
342	14.53494414
343	14.53126745
344	14.52500924
345	14.52319359
346	14.51686394
347	14.51216028
348	14.5100499
349	14.50465612
350	14.4981889
351	14.49742341
352	14.49271334
353	14.49155526
354	14.48299291
355	14.47688923
356	14.47323003
357	14.47104032
358	14.46354304
359	14.46118543
360	14.45439031
361	14.45185816
362	14.44948008
363	14.44806403
364	14.44498334
365	14.43890505
366	14.43374283
367	14.43108636
368	14.42415649
369	14.42194348
370	14.4200402
371	14.41778246
372	14.40879614
373	14.40140732
374	14.39910967
375	14.39373119
376	14.39003493
377	14.38172115
378	14.377612
379	14.37346075
380	14.36812906
381	14.3648929
382	14.35780574
383	14.3524578
384	14.34955435
385	14.3447934
386	14.34169389
387	14.33732996
388	14.33474781
389	14.33014001
390	14.32771334
391	14.32230375
392	14.31874137
393	14.31688795
394	14.31209285
395	14.30502115
396	14.29868735
397	14.29699244
398	14.2958911
399	14.28725896
400	14.28447354
401	14.27805885
402	14.27584229
403	14.27414565
404	14.27318246
405	14.27044936
406	14.26912969
407	14.2646398
408	14.26071416
409	14.259725
410	14.2582243
411	14.25522134
412	14.2509977
413	14.24907159
414	14.24510902
415	14.24181856
416	14.2416182
417	14.23861946
418	14.23818322
419	14.23370976
420	14.22946017
421	14.22794175
422	14.22596184
423	14.22582999
424	14.22311564
425	14.21999805
426	14.21485946
427	14.20640908
428	14.20114657
429	14.1983824
430	14.19252021
431	14.19032554
432	14.18699627
433	14.18300724
434	14.18026638
435	14.17793764
436	14.17440468
437	14.16978887
438	14.16623506
439	14.16250417
440	14.16173935
441	14.15816744
442	14.15381408
443	14.15051992
444	14.146945
445	14.14289412
446	14.13546855
447	14.13075506
448	14.12745799
449	14.12490095
450	14.1230552
451	14.12101007
452	14.1158177
453	14.11339472
454	14.10832855
455	14.10582837
456	14.10197371
457	14.10145424
458	14.1002666
459	14.09669267
460	14.09389541
461	14.09127286
462	14.08842338
463	14.08283343
464	14.0805282
465	14.07891694
466	14.07780285
467	14.07693319
468	14.07138666
469	14.0657898
470	14.0617538
471	14.05987375
472	14.05703555
473	14.05486226
474	14.05399139
475	14.05276003
476	14.05018036
477	14.04702407
478	14.04298978
479	14.04032291
480	14.0390965
481	14.03548658
482	14.03061782
483	14.0303988
484	14.02793828
485	14.02522285
486	14.02320177
487	14.02079774
488	14.01687983
489	14.01262499
490	14.00870539
491	14.00415295
492	14.00067257
493	13.99854707
494	13.99670191
495	13.99482037
496	13.99201219
497	13.98910816
498	13.98618351
499	13.9838662
500	13.98340507
501	13.97768077
502	13.97526419
503	13.97409668
504	13.97002262
505	13.96253798
506	13.95913583
507	13.95613954
508	13.95224546
509	13.94712171
510	13.9448079
511	13.94067826
512	13.93922734
513	13.936262
514	13.9353472
515	13.93341882
516	13.92861524
517	13.9265002
518	13.92323969
519	13.92044857
520	13.91979833
521	13.91742238
522	13.91727314
523	13.91015656
524	13.90871918
525	13.90671759
526	13.90421564
527	13.89766378
528	13.89351838
529	13.89053633
530	13.88633849
531	13.88106276
532	13.87890082
533	13.87352988
534	13.86984708
535	13.86385972
536	13.86326252
537	13.86017804
538	13.85559555
539	13.8520714
540	13.85003253
541	13.84799174
542	13.84479395
543	13.84304507
544	13.83965339
545	13.83654655
546	13.83451202
547	13.83108015
548	13.82945661
549	13.82710702
550	13.82382542
551	13.82228766
552	13.81574349
553	13.81401372
554	13.81129415
555	13.80942072
556	13.80862577
557	13.80751367
558	13.80542736
559	13.8035261
560	13.80174491
561	13.79924352
562	13.79815744
563	13.79691086
564	13.79566411
565	13.79492541
566	13.79307965
567	13.79122747
568	13.79078956
569	13.78719851
570	13.78440517
571	13.78268657
572	13.77783505
573	13.7732951
574	13.76946758
575	13.76818631
576	13.76368444
577	13.76203329
578	13.75991282
579	13.75713357
580	13.75284035
581	13.75038986
582	13.74641891
583	13.74189127
584	13.73980218
585	13.7359959
586	13.73230332
587	13.73125115
588	13.73017356
589	13.72514565
590	13.72358158
591	13.72139434
592	13.71885201
593	13.71516069
594	13.71404518
595	13.7113461
596	13.70923785
597	13.70725927
598	13.70617931
599	13.70417495
600	13.70259713
601	13.70104781
602	13.70008285
603	13.69659809
604	13.69633427
605	13.69085625
606	13.68828293
607	13.68482933
608	13.68343666
609	13.68005874
610	13.67822325
611	13.67503654
612	13.67177133
613	13.66713404
614	13.6630618
615	13.65992964
616	13.65841886
617	13.65804198
618	13.65711949
619	13.6539895
620	13.65335607
621	13.64990092
622	13.64855162
623	13.64496206
624	13.64120425
625	13.63723755
626	13.63373566
627	13.63041536
628	13.62489576
629	13.62134796
630	13.61996596
631	13.61926758
632	13.61841589
633	13.61622525
634	13.61146541
635	13.6106635
636	13.60981386
637	13.60915339
638	13.60587667
639	13.60171593
640	13.60117891
641	13.59934223
642	13.59865882
643	13.59707059
644	13.59611701
645	13.59419876
646	13.59172139
647	13.58972268
648	13.58833605
649	13.58334099
650	13.58297466
651	13.58167263
652	13.58057192
653	13.57996494
654	13.57579966
655	13.57451172
656	13.57289221
657	13.56783209
658	13.5655412
659	13.56326376
660	13.56293042
661	13.56132645
662	13.56004581
663	13.5568873
664	13.55447501
665	13.55240834
666	13.54967364
667	13.54816874
668	13.54394352
669	13.54138099
670	13.53844028
671	13.53537859
672	13.53297218
673	13.53129674
674	13.52907623
675	13.5289475
676	13.52430928
677	13.52229179
678	13.51761156
679	13.51299147
680	13.51239522
681	13.50874923
682	13.50336924
683	13.49790696
684	13.49487509
685	13.49264255
686	13.48412768
687	13.48172338
688	13.47960326
689	13.4759425
690	13.47444805
691	13.46965797
692	13.4687793
693	13.46430303
694	13.46358658
695	13.46207917
696	13.4602776
697	13.45678529
698	13.45544124
699	13.45280053
700	13.45092598
701	13.45053851
702	13.44884737
703	13.44495466
704	13.44354285
705	13.43972072
706	13.43815925
707	13.43688986
708	13.43640718
709	13.43349553
710	13.42981995
711	13.42763996
712	13.42518257
713	13.42159618
714	13.41762308
715	13.41688966
716	13.41503633
717	13.41312272
718	13.40934632
719	13.40766434
720	13.40475106
721	13.40352256
722	13.40234213
723	13.40169982
724	13.40096313
725	13.39938703
726	13.39803634
727	13.39557682
728	13.39423781
729	13.39183689
730	13.38889377
731	13.3868563
732	13.38629668
733	13.38073251
734	13.38054334
735	13.37483838
736	13.37437063
737	13.37200364
738	13.36845027
739	13.36731731
740	13.36478719
741	13.36258843
742	13.36102182
743	13.35913995
744	13.3556323
745	13.35371449
746	13.35149017
747	13.35024673
748	13.3493372
749	13.34807098
750	13.34592
751	13.34494293
752	13.34334196
753	13.34000456
754	13.33778591
755	13.33614538
756	13.33517065
757	13.33314891
758	13.33069124
759	13.32652089
760	13.32298656
761	13.31865576
762	13.31700628
763	13.31567047
764	13.31174853
765	13.30959592
766	13.30806539
767	13.30698083
768	13.30563415
769	13.30422132
770	13.30034501
771	13.29940059
772	13.29647892
773	13.29382696
774	13.29205315
775	13.29076897
776	13.28911179
777	13.2886553
778	13.28626705
779	13.28464825
780	13.28322422
781	13.28112372
782	13.28012898
783	13.27526224
784	13.27411538
785	13.27128116
786	13.27090729
787	13.26956948
788	13.26755669
789	13.26635476
790	13.2617834
791	13.25884855
792	13.25578567
793	13.25319094
794	13.25259315
795	13.24871073
796	13.24609873
797	13.24171483
798	13.24081929
799	13.23952553
800	13.23477758
801	13.23361221
802	13.23194748
803	13.23112605
804	13.22886819
805	13.22810791
806	13.22317863
807	13.2195829
808	13.21802792
809	13.21663905
810	13.211813
811	13.21058601
812	13.20984571
813	13.20728667
814	13.20540137
815	13.2037628
816	13.2034827
817	13.19893905
818	13.19710534
819	13.19358104
820	13.19286277
821	13.19230035
822	13.19012533
823	13.18681593
824	13.18468068
825	13.18266606
826	13.18123669
827	13.17552612
828	13.17270415
829	13.17154925
830	13.16962794
831	13.16830883
832	13.16784233
833	13.16598662
834	13.16518565
835	13.16253914
836	13.16214608
837	13.16043101
838	13.15954432
839	13.1575633
840	13.15667386
841	13.15646059
842	13.15615972
843	13.15505281
844	13.15399598
845	13.1519628
846	13.14875632
847	13.14741393
848	13.14282692
849	13.14217012
850	13.14177869
851	13.13717876
852	13.13400051
853	13.13271322
854	13.13065709
855	13.1292221
856	13.12753197
857	13.12679922
858	13.12573108
859	13.12370494
860	13.1230003
861	13.12190089
862	13.1200651
863	13.11824435
864	13.11693841
865	13.1125948
866	13.10952901
867	13.10656092
868	13.10541447
869	13.10494332
870	13.10263348
871	13.0990778
872	13.09491342
873	13.09343252
874	13.09226658
875	13.09010187
876	13.08929738
877	13.08815615
878	13.08741084
879	13.08664314
880	13.08525725
881	13.08272775
882	13.07969543
883	13.07791771
884	13.07608159
885	13.07326233
886	13.07275694
887	13.07015478
888	13.06956936
889	13.06723
890	13.06410762
891	13.0614978
892	13.05697289
893	13.05456088
894	13.05268205
895	13.05135539
896	13.0507883
897	13.04996219
898	13.04947866
899	13.0479372
900	13.0470561
901	13.04663416
902	13.04539534
903	13.04408277
904	13.04314138
905	13.04214824
906	13.04083328
907	13.03991527
908	13.03928733
909	13.03720289
910	13.0348141
911	13.03412663
912	13.03217361
913	13.02986277
914	13.02492638
915	13.02331156
916	13.02233902
917	13.01949342
918	13.01511017
919	13.01412817
920	13.01229455
921	13.01126597
922	13.00986585
923	13.00831753
924	13.00777076
925	13.00607166
926	13.00434632
927	13.00324337
928	13.00215566
929	12.99964298
930	12.99855447
931	12.9964876
932	12.99380356
933	12.99171898
934	12.98868623
935	12.98768916
936	12.98626036
937	12.98507013
938	12.98489833
939	12.98296111
940	12.9813758
941	12.98014174
942	12.9797721
943	12.97853425
944	12.97404555
945	12.9702505
946	12.96848815
947	12.96497224
948	12.95966416
949	12.95849394
950	12.95760109
951	12.95527437
952	12.95438637
953	12.95209353
954	12.9502614
955	12.94641379
956	12.94236122
957	12.93879694
958	12.93628157
959	12.93472816
960	12.931018
961	12.92673899
962	12.92463418
963	12.92397444
964	12.92077801
965	12.92007003
966	12.9147569
967	12.9108335
968	12.90833637
969	12.9070521
970	12.90598195
971	12.9048113
972	12.9038469
973	12.90209664
974	12.90001573
975	12.89876479
976	12.8981951
977	12.89691561
978	12.89560851
979	12.89037343
980	12.88809703
981	12.88754891
982	12.88733275
983	12.88382217
984	12.8830899
985	12.88232824
986	12.88020775
987	12.87925416
988	12.87855338
989	12.8779951
990	12.87729435
991	12.87545566
992	12.87450395
993	12.87298487
994	12.87236649
995	12.87046557
996	12.87013386
997	12.86844846
998	12.86586908
999	12.86425191
